1 -1 120 120 120
2 -1 117 176 73
3 -1 134 96 67
4 -1 115 115 115
5 -1 157 128 79
6 -1 120 120 120
7 -1 84 84 84
8 -1 38 92 255
9 -1 38 92 255
10 -1 255 90 0
11 -1 255 90 0
12 -1 218 210 158
13 -1 136 126 126
14 -1 143 140 125
15 -1 136 130 127
16 -1 115 115 115
17 0 102 81 51
17 1 75 44 24
17 2 191 191 191
17 3 75 44 24
18 -1 60 192 41
19 -1 193 193 65
20 -1 255 255 255
21 -1 23 68 196
22 -1 23 68 196
23 -1 96 96 96
24 -1 218 210 158
25 -1 125 91 38
26 -1 200 20 20
27 -1 150 134 102
28 -1 150 134 102
29 -1 157 128 79
30 -1 138 145 145
31 -1 97 156 53
32 -1 75 44 24
33 -1 157 128 79
34 -1 157 128 79
35 0 222 222 222
35 1 204 111 48
35 2 166 66 175
35 3 91 121 185
35 4 170 158 24
35 5 51 165 42
35 6 190 115 135
35 7 58 58 58
35 8 138 145 145
35 9 34 102 131
35 10 113 47 171
35 11 34 44 134
35 12 75 44 24
35 13 49 67 21
35 14 143 39 36
35 15 24 20 20
37 -1 255 255 0
38 -1 255 0 0
39 -1 204 153 120
40 -1 255 43 43
41 -1 232 245 46
42 -1 191 191 191
43 0 200 200 200
43 6 200 200 200
43 1 218 210 158
43 2 157 128 79
43 3 115 115 115
43 4 170 86 62
43 5 200 200 200
44 0 200 200 200
44 8 200 200 200
44 6 200 200 200
44 14 200 200 200
44 1 218 210 158
44 9 218 210 158
44 2 157 128 79
44 10 157 128 79
44 3 115 115 115
44 11 115 115 115
44 4 170 86 62
44 12 170 86 62
44 5 200 200 200
44 13 200 200 200
45 -1 170 86 62
46 -1 160 83 65
47 -1 125 91 38
48 -1 115 115 115
49 -1 26 11 43
50 -1 159 127 80
51 -1 255 170 30
52 -1 0 150 110
53 -1 102 81 51
54 -1 125 91 38
55 -1 240 30 30
56 -1 129 140 143
57 -1 45 166 152
58 -1 114 88 56
59 -1 146 192 0
60 -1 95 58 30
61 -1 96 96 96
62 -1 96 96 96
63 -1 111 91 54
64 -1 136 109 67
65 -1 181 140 64
66 -1 150 134 102
67 -1 115 115 115
68 -1 111 91 54
69 -1 111 91 54
70 -1 120 120 120
71 -1 191 191 191
72 -1 111 91 54
73 -1 131 107 107
74 -1 131 107 107
75 -1 159 127 80
76 -1 159 127 80
77 -1 120 120 120
78 -1 255 255 255
79 -1 83 113 163
80 -1 250 250 250
81 -1 25 120 25
82 -1 151 157 169
83 -1 193 234 150
84 -1 125 91 38
85 -1 127 98 49
86 -1 255 115 0
87 -1 166 89 89
88 -1 133 109 94
89 -1 249 212 156
90 -1 140 0 196
91 -1 255 115 0
92 -1 234 234 234
93 -1 159 127 80
94 -1 159 127 80
95 -1 125 91 38
96 -1 111 91 54
97 -1 120 120 120
98 -1 120 120 120
99 -1 204 153 120
100 -1 255 43 43
101 -1 191 191 191
102 -1 255 255 255
103 -1 193 193 65
104 -1 146 192 0
105 -1 146 192 0
106 -1 60 192 41
107 -1 127 98 49
108 -1 170 86 62
109 -1 120 120 120
110 -1 110 98 104
111 -1 117 176 73
112 -1 166 89 89
113 -1 166 89 89
114 -1 166 89 89
115 -1 142 19 21
116 -1 88 23 22
117 -1 114 114 114
118 -1 74 74 74
119 -1 26 11 43
120 -1 113 133 104
121 -1 224 226 169
122 -1 26 11 43
123 -1 125 106 78
124 -1 249 212 156
